parkcode,name,latitude,longitude,description,activities,weatherInfo
brvb,Brown v. Board of Education,39.03787665,-95.67614437,"The story of Brown v. Board of Education, which ended legal segregation in public schools, is one of hope and courage. When the people agreed to be plaintiffs in the case, they never knew they would change history. The people who make up this story were ordinary people. They were teachers, secretaries, welders, ministers and students who simply wanted to be treated equally.",Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,"Kansas has a temperate but continental climate, with great extremes between summer and winter temperatures but few long periods of extreme hot or cold."
brca,Bryce Canyon,37.58399144,-112.1826689,"Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description.",Auto and ATV|Scenic Driving|Astronomy|Stargazing|Biking|Road Biking|Camping|Backcountry Camping|Car or Front Country Camping|Group Camping|RV Camping|Food|Dining|Guided Tours|Bus/Shuttle Guided Tour|Hiking|Backcountry Hiking|Horse Trekking|Junior Ranger Program|Skiing|Cross-Country Skiing|Snowshoeing|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,"Due of its high elevation climate, weather at Bryce Canyon through autumn, winter, and spring can be highly variable. From October to May temperatures fall below freezing nearly every night. The park typically experiences its coldest and snowiest periods from December through February. Spring storms in March and April can still produce heavy snowfall that may impact travel in the region. Summer highs are typically in the 70s-80s F and afternoon thunderstorms are common in July and August."
buis,Buck Island Reef,17.81026717,-64.6222179,"Welcome to Buck Island! Before you come, please watch our 2014 Telly Award winning film ""Caribbean Gem."" Watching this will catch you up on 50+ years of National Park Service protection and civic engagement. Learn what we do every day to preserve this resource for Virgin Islanders and visitors alike. For the General Management Plan and Environmental Compliance, visit the News page.",Boating|Sailing|Hiking|Paddling|Kayaking|SCUBA Diving|Snorkeling|Swimming|Saltwater Swimming|Wildlife Watching|Birdwatching,Welcome to the tropics!
buff,Buffalo,36.04116481,-92.90761584,"Established in 1972, Buffalo National River flows freely for 135 miles and is one of the few remaining undammed rivers in the lower 48 states. Once you arrive, prepare to journey from running rapids to quiet pools while surrounded by massive bluffs as you cruise through the Ozark Mountains down to the White River.",Camping|Backcountry Camping|Caving|Fishing|Food|Guided Tours|Hiking|Backcountry Hiking|Off-Trail Permitted Hiking|Horse Trekking|Hunting and Gathering|Paddling|Canoeing|Junior Ranger Program|Wildlife Watching,Summer in the Ozarks can be very hot and humid. Please check the weather forecast prior to your arrival and plan accordingly. The weather the rest of the year has the potential to be wet and cool or dry and warm. Please pay special attention to river levels and the rain forecast when planning a trip on the river. River levels can rise dramatically in a short period of time so please be aware of conditions.
cabr,Cabrillo,32.6722503,-117.2415985,"Climbing out of his boat and onto shore in 1542, Juan Rodriguez Cabrillo stepped into history as the first European to set foot on what is now the West Coast of the United States. In addition to telling the story of 16th century exploration, the park is home to a wealth of cultural and natural resources. Join us and embark on your own Voyage of Exploration.",Biking|Road Biking|Hiking|Living History|Reenactments|Historic Weapons Demonstration|First Person Interpretation|Junior Ranger Program|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,"Check the current weather from the National Weather Service at https://www.weather.gov/. San Diego's climate is characterized by warm, dry summers and mild winters, with most of the annual precipitation falling between December and March. The city has a mild climate year-round, with an average of 201 days above 70 °F (21 °C) and low rainfall (9–13 inches [230–330 mm] annually)."
cali,California,42.3999643979285,-108.702415369046,"Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.",Auto and ATV|Scenic Driving|Guided Tours|Self-Guided Tours - Auto|Hiking|Horse Trekking|Horseback Riding|Museum Exhibits,"Due to the length of the California National Historic Trail, be sure to consult local weather sources for the region you'll be visiting. Check out the forecast with the National Weather Service and search for the area you'd like to visit: weather.gov"
cane,Camp Nelson,37.7970179912726,-84.5981683059999,"Established as a supply depot and hospital during the Civil War for the U.S. Army, Camp Nelson became a large recruitment and training center for African American soldiers (USCTs), and a refugee camp for their wives and children. Thousands of enslaved people escaped to this site with the hope of securing freedom and ultimately controlling their futures by aiding in the destruction of slavery.",Museum Exhibits,"Kentucky has a moderate climate, summers are humid with highs typically in the upper 80s, and winter highs in the low 40s. Of course be aware of the possibility of storms or more extreme temperatures on occasion. The wettest months are March - July when about 4 inches of rain per month are expected, other months of the year are usually drier."
cana,Canaveral,28.78637529,-80.75419576,"This pristine barrier island composed of dune, hammock and lagoon habitats provides protection from storms, preserves ancient Timucua Native American mounds, and is sanctuary for thousands of species of plants and animals that call Canaveral National Seashore home. Reflect on a pristine undeveloped shoreline, explore a historic site, or experience the rumble of a rocket soaring into space.",Boating|Camping|Backcountry Camping|Canoe or Kayak Camping|Group Camping|Fishing|Guided Tours|Hiking|Horse Trekking|Horseback Riding|Paddling|Junior Ranger Program|Surfing|Swimming|Saltwater Swimming|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Gift Shop and Souvenirs,"Summer: Hot & humid (Temperatures average in the 90's) Winter months: Temperatures in the 40-70 degree range, with a ""cold spells"" where temps down to the low to mid-30's). Hurricane Season: June 1st through November 30th (most activity normally occurs in August or September)"
cari,Cane River Creole,31.65408447,-93.00131977,"The Cane River region is home to a unique culture; the Creoles. Generations of the same families of owners and workers, enslaved and tenant, lived on these lands for over 200 years. The park tells their stories and preserves the cultural landscape of Oakland and Magnolia Plantations, two of the most intact Creole cotton plantations in the United States.",Arts and Culture|Guided Tours|Self-Guided Tours - Walking|Junior Ranger Program,"Weather in central Louisiana can be unpredictable. Summers are hot and humid. Winter is relatively mild with measurable snowfall every 5-10 years. Average rainfall is approximately 55-60 inches per year. The area is also subject to severe thunderstorms, hail, damaging winds, and tornadoes. Visitors might want to bring hats, umbrellas, and drink plenty of water. Please check the local weather forecast before planning your visit to the park."
cach,Canyon de Chelly,36.14319567,-109.3388303,"For nearly 5,000 years, people have lived in these canyons - longer than anyone has lived uninterrupted anywhere on the Colorado Plateau. In the place called Tsegi, their homes and images tell us their stories. Today, Navajo families make their homes, raise livestock, and farm the lands in the canyons. A place like no other, the park and Navajo Nation work together to manage the land's resources.",Auto and ATV|Scenic Driving|Camping|Guided Tours|Hiking|Junior Ranger Program|Shopping|Bookstore and Park Store,"Canyon de Chelly is located at 5,500 feet. Spring is cool and windy; highs from 50 to 70; lows of 35 degrees. Expect dust storms and canyon flooding. Summer is hot and dry; highs from 85 to 100; lows of 51 degrees. Drink plenty of water outdoors. Fall is warm and often wet; highs from 60 to 80; lows of 40 degrees. Expect lightning, thunderstorms, and flash floods. Winter is cold and breezy; highs from 40 to 60; lows of 18 degrees. Expect 1-4 inches of snow and freezing nighttime temperatures."
cany,Canyonlands,38.24555783,-109.8801624,"Canyonlands invites you to explore a wilderness of countless canyons and fantastically formed buttes carved by the Colorado River and its tributaries. Rivers divide the park into four districts: Island in the Sky, The Needles, The Maze, and the rivers themselves. These areas share a primitive desert atmosphere, but each offers different opportunities for sightseeing and adventure.",Auto and ATV|Astronomy|Stargazing|Biking|Boating|Camping|Backcountry Camping|Car or Front Country Camping|Group Camping|Climbing|Rock Climbing|Guided Tours|Boat Tour|Hiking|Horse Trekking|Horseback Riding|Paddling|Canoe or Kayak Camping|Whitewater Rafting|Junior Ranger Program|Park Film|Shopping|Bookstore and Park Store,"Canyonlands is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F."
caco,Cape Cod,41.92381465,-70.04319832,"The great Outer Beach described by Thoreau in the 1800s is protected within the national seashore. Forty miles of pristine sandy beach, marshes, ponds, and uplands support diverse species. Lighthouses, cultural landscapes, and wild cranberry bogs offer a glimpse of Cape Cod's past and continuing ways of life. Swimming beaches and walking and biking trails beckon today's visitors.",Auto and ATV|Auto Off-Roading|Biking|Camping|RV Camping|Fishing|Freshwater Fishing|Saltwater Fishing|Golfing|Guided Tours|Bus/Shuttle Guided Tour|Hiking|Front-Country Hiking|Hunting and Gathering|Hunting|Paddling|Canoeing|Kayaking|Stand Up Paddleboarding|Junior Ranger Program|Skiing|Cross-Country Skiing|Snowshoeing|Surfing|Swimming|Saltwater Swimming|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,Cape Cod's weather is generally moderated by its proximity to the ocean. Winter is typically cold with some snow. Spring is often rainy. Summer is usually warm and humid. Fall is generally dry and clear.
caha,Cape Hatteras,35.41370839,-75.65061112,"The sound of ocean waves, the starry night sky, or the calm of the salt marshes, you can experience it all. Shaped by the forces of water, wind, and storms these islands are ever changing. The plants, wildlife, and people who live here adapt continually. Whether you are enjoying the beach, kayaking the sound, or climbing the Cape Hatteras Lighthouse there is something for everyone to explore!",Auto and ATV|Auto Off-Roading|Astronomy|Stargazing|Camping|Car or Front Country Camping|Group Camping|RV Camping|Fishing|Saltwater Fishing|Food|Picnicking|Hiking|Hunting and Gathering|Hunting|Paddling|Canoeing|Kayaking|Junior Ranger Program|Snorkeling|Surfing|Swimming|Saltwater Swimming|Wildlife Watching|Birdwatching|Museum Exhibits|Shopping|Bookstore and Park Store,The weather along the Outer Banks varies throughout the year and even throughout the day. Please check the National Weather Service information at http://www.weather.gov/mhx/ for forecast information.
came,Cape Henry Memorial,36.9278094,-76.0088219,"English colonists first landed here in April 1607, erected a wooden cross and gave thanks for a successful crossing to a new land. In 1781, Americans could watch from these same sand dunes the largest naval battle of the Revolutionary War. Our French Allies defeated a British fleet just off this shore to set the stage for General George Washington's victory at Yorktown.",Guided Tours|Self-Guided Tours - Walking,"Spring: Temperatures usually range from 40 F to 80 F. Rain is common. Summer: Temperatures usually range from 80 F to 100 F. Rain and sun are equally common. On very sunny days, be prepared with plenty of water . Fall: Temperatures usually range from 40 F to 70 F. Winter: Temperatures range from 40 F to 20 F. Be prepared with cold weather gear and numerous layers if you intend to be outside."
cakr,Cape Krusenstern,67.41499986,-163.5037786,"North of the Arctic Circle, the monument forms 70 miles of shoreline on the Chukchi Sea. More than 114 beach ridges provide evidence of human use for 5,000 years. The Inupiat continue to use the area today. Vast wetlands provide habitat for shorebirds from as far away as South America. Hikers and boaters can see carpets of wildflowers among shrubs containing wisps of qiviut from muskoxen.",Camping|Backcountry Camping|Flying|Fixed Wing Flying|Hands-On|Arts and Crafts|Hiking|Backcountry Hiking|Junior Ranger Program|Wildlife Watching|Birdwatching|Museum Exhibits|Shopping|Bookstore and Park Store,"Snow, rain, and freezing temperatures can occur any time of the year. Always travel with good quality rain gear and warm layers. Be especially careful to stay dry. Hypothermia can set in on a windy, wet day, even when it doesn't feel that cold."
calo,Cape Lookout,34.8267961,-76.34319082,"A boat ride three miles off-shore brings you to the barrier islands of Cape Lookout National Seashore. Horse watching, shelling, fishing, birding, camping, lighthouse climbing, and touring historic villages--there’s something for everyone at Cape Lookout. Be sure to bring all the food, water, and supplies you need (and carry your trash out of the park) when visiting these remote beaches.",Auto and ATV|ATV Off-Roading|Auto Off-Roading|Boating|Camping|Backcountry Camping|Canoe or Kayak Camping|Fishing|Saltwater Fishing|Hunting and Gathering|Hunting|Paddling|Canoeing|Canoe or Kayak Camping|Kayaking|Junior Ranger Program|Swimming|Saltwater Swimming|Wildlife Watching|Shopping|Bookstore and Park Store,"Spring: Temperatures generally range from 50 F to 70+ F. Rain & wind are common Summer: Temperatures usually range from 80 F to 100 F with high humidity (80-90%). Average wind speed is 10-15 mph. Be prepared with plenty of water. With little shade on the islands, an umbrella to provide shade from the sun is a good idea. Fall: Temperatures usually range from the high 70 F to the upper 40 F. Winter: Temperatures usually range from 50 F - 32 F. Winds can be strong. Dress in layers."
cahi,Capitol Hill Parks,38.889993,-76.990332,"The Capitol Hill Parks include several park areas east of the U.S. Capitol. Included in this group are Folger, Lincoln, Stanton, and Marion Parks, the Eastern Market and Potomac Avenue Metro stations, and several smaller land parcels such as Seward Square, Twining Square, the Maryland Avenue Triangles, the Pennsylvania Avenue Medians, and 59 inner-city triangles and squares.",Arts and Culture|Biking|Food|Picnicking|Flying|Guided Tours|Self-Guided Tours - Walking|Bus/Shuttle Guided Tour|Junior Ranger Program|Playground,Winter: Temperatures usually range from 30 to 50 F. There is occasional snow. Spring: Temperatures usually range widely from 40 to 70 F. Rain is common. Summer: Temperatures usually range from 70 to 90 F. Humidity is usually high. Be prepared and drink plenty of water. There is a water fountain in the visitor center. Fall: Temperatures usually range widely from 40 to 70 F. Humidity can remain high in the earlier part of the season.
care,Capitol Reef,38.2821653130533,-111.247048377991,"Located in south-central Utah in the heart of red rock country, Capitol Reef National Park is a hidden treasure filled with cliffs, canyons, domes, and bridges in the Waterpocket Fold, a geologic monocline (a wrinkle on the earth) extending almost 100 miles.",Arts and Culture|Cultural Demonstrations|Astronomy|Stargazing|Biking|Road Biking|Camping|Backcountry Camping|Car or Front Country Camping|Horse Camping (see also Horse/Stock Use)|Group Camping|RV Camping|Canyoneering|Climbing|Rock Climbing|Fishing|Food|Picnicking|Guided Tours|Self-Guided Tours - Walking|Self-Guided Tours - Auto|Hands-On|Citizen Science|Arts and Crafts|Volunteer Vacation|Hiking|Backcountry Hiking|Front-Country Hiking|Off-Trail Permitted Hiking|Horse Trekking|Horse Camping (see also camping)|Horseback Riding|Living History|First Person Interpretation|Junior Ranger Program|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,Weather is posted daily; check at the park visitor center for weather updates. Do not enter into narrow canyons if there is a threat of rain or if rain has been falling in the area. Rain and snow may also make dirt roads impassable to vehicles.
cajo,Captain John Smith Chesapeake,38.971601,-76.483355,"Four hundred years ago Englishman John Smith and a small crew of adventurers set out in an open boat to explore the Chesapeake Bay. Between 1607 and 1609 Smith and his crew mapped nearly 3,000 miles of the Bay and rivers and documented American Indian communities. Smith’s map and journals are a remarkable record of the 17th-century Chesapeake. Come join the adventure on the Chesapeake Bay!",Boating|Compass and GPS|Geocaching|Paddling|Junior Ranger Program,"During the summer season, visitors should dress in light, comfortable clothing, wear comfortable shoes and use sunscreen. We recommended you carry a bottle of water with you. High temperatures and humidity create a higher risk of heat cramps, heat exhaustion and heatstroke. Most of the Historic site is out-of-doors, and although not a great distance from an air-conditioned building, staying properly hydrated will help prevent these illnesses. During the fall, visitors should have a light jacket available."
cavo,Capulin Volcano,36.78171096,-103.9710427,"Part of the 8,000 square mile Raton-Clayton Volcanic Field, Capulin Volcano showcases the volcanic geology of northeastern New Mexico. The views are spectacular day or night, with views of 4 different states from the volcanic rim and one of the darkest night skies in the country. Whether it's a quick stop or a day's trip, enjoy exploring the landscape of this unique volcano!",Astronomy|Stargazing|Biking|Road Biking|Guided Tours|Self-Guided Tours - Walking|Self-Guided Tours - Auto|Hiking|Front-Country Hiking|Junior Ranger Program|Wildlife Watching|Birdwatching|Museum Exhibits,"Elevations range from 7247 feet at the park visitor center to 8182 feet on the crater rim trail. Summers usually have mild temperatures with highs averaging in the low to mid 80s F/app. 30C with occasional afternoon thunderstorms. Winters average from the low 40s to low 50s for highs, but temperatures vary. Snowfall is most common from December into April and may cause temporary closures of the volcano road. Sunny winter days are beautiful days to be in the park. Check weather conditions before visiting."
carl,Carl Sandburg Home,35.26815509,-82.45106258,"Carl Sandburg provided a popular voice for the American people of the twentieth century and still speaks to us through his words, activism, music and the beauty and serenity of Carl Sandburg Home National Historic Site. Explore Sandburg's legacy and Experience Your America!",Arts and Culture|Theater|Guided Tours,Average Monthly Highs and Lows January - 45 / 25 February - 50 / 30 March - 55 / 35 April - 60 / 40 May- 70 / 60 June - 80 / 65 July - 85 / 65 August - 80 / 65 September - 75 / 55 October - 70 / 45 November - 60 / 35 December - 50 / 30
cave,Carlsbad Caverns,32.14089463,-104.5529688,"High ancient sea ledges, deep rocky canyons, flowering cactus, and desert wildlife—treasures above the ground in the Chihuahuan Desert. Hidden beneath the surface are more than 119 caves—formed when sulfuric acid dissolved limestone leaving behind caverns of all sizes.",Astronomy|Stargazing|Camping|Backcountry Camping|Horse Camping (see also Horse/Stock Use)|Caving|Food|Dining|Picnicking|Guided Tours|Self-Guided Tours - Walking|Horse Trekking|Horse Camping (see also camping)|Horseback Riding|Junior Ranger Program|Wildlife Watching|Birdwatching|Park Film|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,"Carlsbad Caverns National Park is located in the Chihuahuan Desert in southeast New Mexico. Summers are hot with temperatures between 90°F (32°C) and low 100s °F (38°C). Windy conditions and mild temperatures are common in early spring (March-May) with frequent rain in early fall (August-September). This part of the country also sees cold temperatures in the winter with occasional snow and icy conditions. Most days, the park is enveloped by a gorgeous blue sky with very few clouds, 278 sunny days a year!"
cawo,Carter G. Woodson Home,38.91089286,-77.02431104,"Before Dr. Carter G. Woodson, there was very little accurate written history about the lives and experiences of Americans of African descent. Today a National Historic Site, Dr. Woodson’s home served as the headquarters for the Association for the Study of African American Life and History. Dr. Woodson established Negro History Week here in 1926, which we celebrate today as Black History Month.",Guided Tours|Self-Guided Tours - Walking|Junior Ranger Program|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,Winter: Temperatures usually range from 30 to 50 F. There is occasional snow. Spring: Temperatures usually range widely from 40 to 70 F. Rain is common. Summer: Temperatures usually range from 70 to 90 F. Humidity is usually high. Be prepared and drink plenty of water. There is a water fountain in the visitor center. Fall: Temperatures usually range widely from 40 to 70 F. Humidity can remain high in the earlier part of the season.
cagr,Casa Grande Ruins,32.99702582,-111.5325383,"Explore the mystery and complexity of an extended network of communities and irrigation canals. An Ancestral Sonoran Desert People's farming community and ""Great House"" are preserved at Casa Grande Ruins. Whether the Casa Grande was a gathering place for the Desert People or simply a waypoint marker in an extensive system of canals and trading partners is but part of the mystique of the Ruins.",Arts and Culture|Craft Demonstrations|Cultural Demonstrations|Live Music|Food|Picnicking|Guided Tours|Junior Ranger Program|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,"Summer daytime temperatures frequently exceed 100 degrees F. Winter temperatures range from the 60's to the 80's F. Spring and fall are warm and dry, with highs in the 80's and 90's F. During summer months, be prepared for hot temperatures. Protective clothing, hats, sunscreen and personal water containers are highly recommended. BE AWARE: Walls of dirt and debris, usually miles wide and thousands of feet high, are pushed across dry desert terrain by high winds, causing dust to engulf highways."
casa,Castillo de San Marcos,29.89785701,-81.31217173,"Built by the Spanish in St. Augustine to defend Florida and the Atlantic trade route, Castillo de San Marcos National Monument preserves the oldest masonry fortification in the continental United States and interprets more than 450 years of cultural intersections.",Living History|Historic Weapons Demonstration|Junior Ranger Program|Park Film,"St. Augustine has a semi-tropical climate with over 300 days of sunshine each year. Summers (May-September) are hot, bright, and humid with afternoon thunderstorms common. Temperatures range from the lower 70s to the mid 90s F. Spring (March-mid-May) and Autumn (October-late November) can be pleasant with temperatures ranging from the upper 50s into the 80s F. The Winter months (December-March) are usually dry. Temperatures can be cool ranging from the upper 30s through the 60sF."
cacl,Castle Clinton,40.70347795,-74.01680558,"Located at the southern tip of Manhattan Island, Castle Clinton stands where New York City began, and represents not only the city’s growth, but the growth of a nation. Initially intended to prevent a British invasion in 1812, the fortification has transformed over the years to welcome theatergoers, immigrants, sightseers, and now, millions of visitors to New York Harbor.",Arts and Culture|Guided Tours|Junior Ranger Program|Shopping|Bookstore and Park Store,Castle Clinton National Monument has a variety of weather. New York City has hot summers and cold winters. Spring can have heavy rains and Autumn can be cool. http://forecast.weather.gov/MapClick.php?CityName=New+York&state=NY&site=OKX&lat=40.7198&lon=-73.993#.Vqj8OvkrJlZ
camo,Castle Mountains,35.29156348,-115.0935606,"Castle Mountains represents some of the most unique elements of the Mojave Desert. Nestled between the Nevada state line and Mojave National Preserve, the nearly 21,000 acres of Castle Mountains boasts Joshua tree forests, unbroken natural landscapes, rare desert grasslands, and rich human history. This intriguing area provides serenity and solitude from nearby metropolitan areas.",Camping|Car or Front Country Camping|Group Camping|RV Camping,"Weather at Castle Mountains changes with the seasons. Freezing temperatures are expected in winter, with occasional snow. Spring brings mild warm days and cooler nights. With enough rain, wildflowers can carpet the area, making for spectacular displays. Summer months are much hotter, with temperatures nearing 100 degrees Fahrenheit. Strong monsoonal storms in late summer may cause flash-flooding in low-lying areas and can create hazardous road conditions. Fall is a cooler respite after the heat of summer."
cato,Catoctin Mountain,39.65068457,-77.46417665,"President Franklin D. Roosevelt created programs to give people a chance to rebuild their lives from the Great Depression. The Works Progress Administration and the Civilian Conservation Corps gave this land a second opportunity and through re-growth, a new role as a recreation area.",Camping|Car or Front Country Camping|Group Camping|Climbing|Compass and GPS|Orienteering|Fishing|Fly Fishing|Food|Picnicking|Hiking|Front-Country Hiking|Horse Trekking|Horseback Riding|Junior Ranger Program|Skiing|Cross-Country Skiing|Snowshoeing|Museum Exhibits|Shopping|Bookstore and Park Store,"Summer (June-Aug) average temperature is between 61 and 81 degrees Fahrenheit. Fall (Sep-Nov) average temperature is between 45 and 64 degrees Fahrenheit. Fall foliage is at its peak in mid-October Winter (Dec-Feb) average temperature is between 24 and 41 degrees Fahrenheit. Winter snowfall is between 5-12"" per month. Spring (March-May) average temperature is between 41 and 63 degrees Fahrenheit. Average precipitation is approximately 4 inches per month. (Source: usclimatedata.com)"
cebr,Cedar Breaks,37.63545562,-112.845268,"Crowning the grand staircase, Cedar Breaks sits at over 10,000 feet and looks down into a half-mile deep geologic amphitheater. Come wander among timeless bristlecone pines, stand in lush meadows of wildflower, ponder crystal-clear night skies and experience the richness of our subalpine forest.",Arts and Culture|Astronomy|Stargazing|Camping|Food|Picnicking|Guided Tours|Hiking|Junior Ranger Program|Skiing|Cross-Country Skiing|Snow Play|Snowmobiling|Snowshoeing|Wildlife Watching|Birdwatching|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,"Cedar Breaks sits at over 10,000 feet in elevation and is usually 10-20 degrees cooler than surrounding parks. Be prepared for cooler temperatures and unpredictable weather. Snow, sleet, and hail can occur at any time of the year, even in the summer! Summer-time highs are between 60 and 70°F and night-time lows dip to 30-40s°F. Thunderstorms frequently develop in the afternoons. Be aware of lightning and avoid exposed trails and overlooks until storms pass."
cebe,Cedar Creek & Belle Grove,39.0093576,-78.30618934,"The Shenandoah Valley invites you to learn about its rich heritage, from Native Americans who first shaped the land, to pioneers of this frontier; this fertile area became one of the most important wheat producing regions of the entire South. The Valley also witnessed some of the most dramatic events of the Civil War,including the Battle of Cedar Creek, a decisive October 19, 1864 Union victory.",Astronomy|Stargazing|Guided Tours|Self-Guided Tours - Walking|Self-Guided Tours - Auto|Living History|Reenactments|Historic Weapons Demonstration|First Person Interpretation|Junior Ranger Program|Museum Exhibits|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,"Summers in Virginia are often very hot with high heat indexes. Check the weather in advance of your trip, and plan accordingly. Dress for the heat and for sun protection. Pack lots of water. The Shenandoah Valley experiences temperate spring and fall seasons and winters with snowfall and cold temperatures."
chcu,Chaco Culture,36.03963414,-107.9560076,"Today the massive buildings of the Ancestral Puebloan people still testify to the organizational and engineering abilities not seen anywhere else in the American Southwest. For a deeper contact with the canyon that was central to thousands of people between 850 and 1250 A.D., come and explore Chaco through guided tours, hiking & biking trails, evening campfire talks, and night sky programs.",Astronomy|Camping|Guided Tours|Hiking,"Summer highs are typically in the 80's to mid-90's. Thunderstorms can produce heavy localized downpours and sudden dramatic drops in temperatures. Winter temperatures will drop to well below freezing most nights. If you plan to camp in the winter, prepare for nighttime temperatures in the teens or lower. Spring and Fall are great times to visit with more moderate temperatures, but unexpected storms can change things dramatically. Monitor local weather forecasts."
cham,Chamizal,31.76729634,-106.4544011,Chamizal is more than just an urban park to recreate or enjoy a quiet afternoon. These grounds are a reminder of the harmonious settlement of a 100-year boundary dispute between the United States and Mexico. We celebrate the cultures of the borderlands to promote the same mutual respect that helped to diplomatically resolve an international disagreement.,Arts and Culture|Craft Demonstrations|Cultural Demonstrations|Live Music|Theater|Biking|Food|Picnicking|Guided Tours|Self-Guided Tours - Walking|Hands-On|Hiking|Junior Ranger Program|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,"Chamizal National Memorial is open year-round, but periodic winter weather conditions may cause closure. Please check for alerts on the park website: www.nps.gov/cham. Thunderstorms typically occur during summer and early fall. There may be no shelter to avoid lightning, so please prepare by looking at weather forecasts and paying attention to developing weather conditions."
chis,Channel Islands,33.98680093,-119.9112735,"Channel Islands National Park encompasses five remarkable islands and their ocean environment, preserving and protecting a wealth of natural and cultural resources. Isolation over thousands of years has created unique animals, plants, and archeological resources found nowhere else on Earth and helped preserve a place where visitors can experience coastal southern California as it once was.",Astronomy|Stargazing|Boating|Motorized Boating|Sailing|Boat Tour|Camping|Backcountry Camping|Canoe or Kayak Camping|Group Camping|Compass and GPS|Orienteering|Fishing|Saltwater Fishing|Food|Picnicking|Flying|Fixed Wing Flying|Guided Tours|Self-Guided Tours - Walking|Boat Tour|Hiking|Backcountry Hiking|Front-Country Hiking|Off-Trail Permitted Hiking|Paddling|Canoe or Kayak Camping|Kayaking|Stand Up Paddleboarding|Junior Ranger Program|SCUBA Diving|Snorkeling|Surfing|Swimming|Saltwater Swimming|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,"In general, the islands have a Mediterranean climate year-round. Temperatures are relatively stable, with highs averaging in the mid-60s (°F) and lows in the low-50s. However, there are seasonal differences that visitors should take into consideration when visiting the park. In addition, visitors also should be aware that ocean and weather conditions vary considerably from day-to-day and island-to-island. For more information visit: http://www.nps.gov/chis/planyourvisit/weather.htm"
chpi,Charles Pinckney,32.84577392,-79.82487582,"Charles Pinckney was a principal author and signer of the United States Constitution. This remnant of his coastal plantation is preserved to tell the story of a ""founding father,"" his life of public service, the lives of enslaved African Americans on South Carolina Lowcountry plantations and their influences on Charles Pinckney.",Food|Picnicking|Guided Tours|Self-Guided Tours - Walking|Hands-On|Citizen Science|Volunteer Vacation|Hiking|Front-Country Hiking|Junior Ranger Program|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,Winters are generally mild. Summers are hot and humid.
chyo,Charles Young Buffalo Soldiers,39.70817829,-83.89328575,"Throughout his life, Charles Young overcame countless obstacles in his ascent to prominence. In spite of overt racism and stifling inequality, Young rose through the military ranks to become one of the most respected leaders of his time. A well-rounded man with a steadfast devotion to duty, Young led by example and inspired a generation of new leaders.",Food|Dining|Guided Tours|Self-Guided Tours - Walking|Self-Guided Tours - Auto|Junior Ranger Program|Park Film,"The park lies in a humid continental zone with a generally temperate climate. Winters are mildly cold with average temperatures around 29 degrees (F). Summers are hot and humid with an average temperature around 74 degrees (F). Average annual total rainfall is just under 40"". Snowfall in the winter is generally light with an average total snowfall of about 22""."
